datetime,carbon_intensity_direct_avg,source_csv,source_path,region,subregion_name
2022-08-29 11:00:00+00:00,203.43,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-29 12:00:00+00:00,196.61,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-29 13:00:00+00:00,199.79,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-29 14:00:00+00:00,205.17,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-29 15:00:00+00:00,189.59,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-29 16:00:00+00:00,174.29,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-29 17:00:00+00:00,166.02,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-29 18:00:00+00:00,107.38,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-29 19:00:00+00:00,93.06,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-29 20:00:00+00:00,81.99,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-29 21:00:00+00:00,82.39,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-29 22:00:00+00:00,84.03,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-29 23:00:00+00:00,102.91,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 00:00:00+00:00,141.89,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 01:00:00+00:00,155.15,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-30 02:00:00+00:00,162.07,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-30 03:00:00+00:00,169.74,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-30 04:00:00+00:00,187.22,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-30 05:00:00+00:00,204.99,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 06:00:00+00:00,200.93,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 07:00:00+00:00,193.77,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 08:00:00+00:00,193.92,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 09:00:00+00:00,201.31,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 10:00:00+00:00,211.53,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 11:00:00+00:00,221.01,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 12:00:00+00:00,230.25,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 13:00:00+00:00,233.33,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-30 14:00:00+00:00,237.95,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-30 15:00:00+00:00,206.04,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-30 16:00:00+00:00,192.75,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-30 17:00:00+00:00,187.86,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-30 18:00:00+00:00,113.36,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 19:00:00+00:00,85.58,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 20:00:00+00:00,84.55,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 21:00:00+00:00,83.15,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 22:00:00+00:00,84.97,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-30 23:00:00+00:00,105.81,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 00:00:00+00:00,128.52,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 01:00:00+00:00,183.75,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-31 02:00:00+00:00,181.12,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-31 03:00:00+00:00,220.4,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-08-31 04:00:00+00:00,215.49,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 05:00:00+00:00,210.72,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 06:00:00+00:00,208.17,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 07:00:00+00:00,209.54,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 08:00:00+00:00,209.86,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 09:00:00+00:00,212.71,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 10:00:00+00:00,219.31,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
2022-08-31 11:00:00+00:00,225.89,US-NY-NYIS.csv,data/regions/NY/US-NY-NYIS.csv,NY,US-NY-NYIS
2022-08-31 12:00:00+00:00,229.79,US-NY-NYIS.csv,data/regions/NY/US-NY-NYIS.csv,NY,US-NY-NYIS
2022-08-31 13:00:00+00:00,225.61,US-CAR-CPLE.csv,data/regions/CAR/US-CAR-CPLE.csv,CAR,US-CAR-CPLE
2022-08-31 14:00:00+00:00,223.02,US-NY-NYIS.csv,data/regions/NY/US-NY-NYIS.csv,NY,US-NY-NYIS
2022-08-31 15:00:00+00:00,206.99,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-31 16:00:00+00:00,192.06,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-31 17:00:00+00:00,188.32,US-CAL-CISO.csv,data/regions/CAL/US-CAL-CISO.csv,CAL,US-CAL-CISO
2022-08-31 18:00:00+00:00,112.14,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 19:00:00+00:00,88.93,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 20:00:00+00:00,88.52,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 21:00:00+00:00,86.27,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 22:00:00+00:00,87.72,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-08-31 23:00:00+00:00,110.36,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-09-01 00:00:00+00:00,134.71,US-CENT-SPA.csv,data/regions/CENT/US-CENT-SPA.csv,CENT,US-CENT-SPA
2022-09-01 01:00:00+00:00,182.07,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-09-01 02:00:00+00:00,185.08,US-CAL-BANC.csv,data/regions/CAL/US-CAL-BANC.csv,CAL,US-CAL-BANC
2022-09-01 03:00:00+00:00,192.04,US-NE-ISNE.csv,data/regions/NE/US-NE-ISNE.csv,NE,US-NE-ISNE
