direction,start_ts_iso,start_ts_unix,policy,overhead_min,app_size_mb,total_carbon_kgco2eq,migration_count,migration_hours,dest_grids_visited
allgrids:ERCO->pool8,2022-10-24,1666576800,1,30,64.0,108.079,0,,
allgrids:ERCO->pool8,2022-10-24,1666576800,2,30,64.0,143.32,16,3|5|6|12|14|16|22|25|34|36|37|45|46|47|48|52,SWPP|ERCO|SWPP|ERCO|NEVP|PNM|IPCO|ERCO|IPCO|ERCO|PNM|NEVP|IPCO|PSCO|PNM|ERCO
allgrids:ERCO->pool8,2022-10-24,1666576800,3,30,64.0,119.076,1,9,PNM
allgrids:ERCO->pool8,2022-10-24,1666576800,4,30,64.0,114.847,2,29|39,PNM|ERCO
allgrids:ERCO->pool8,2022-10-24,1666576800,5,30,64.0,137.763,16,2|4|5|11|13|15|21|24|33|35|36|44|45|46|47|51,SWPP|ERCO|SWPP|ERCO|NEVP|PNM|IPCO|ERCO|IPCO|ERCO|PNM|NEVP|IPCO|PSCO|PNM|ERCO
allgrids:ERCO->pool8,2022-10-24,1666576800,6,30,64.0,107.87,1,31,PNM
