policy,source_region,start_ts,start_datetime,hw_weighting,overhead_cost,deadline_gate,ablation_id,lookahead_hours,app_size_mb,expected_completion_min,deadline_multiplier,total_carbon_gco2,baseline_carbon_gco2,savings_pct,migration_count,completed_hours,sweep_kind
6,CENT,1577836800,2020-01-01T00:00:00+00:00,False,False,False,HW0_OH0_DL0,48,64.0,2880,1.5,70944.0,39158.5,-81.171,2,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,False,False,True,HW0_OH0_DL1,48,64.0,2880,1.5,70944.0,39158.5,-81.171,2,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,False,True,False,HW0_OH1_DL0,48,64.0,2880,1.5,70944.0,39158.5,-81.171,2,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,False,True,True,HW0_OH1_DL1,48,64.0,2880,1.5,70944.0,39158.5,-81.171,2,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,False,False,HW1_OH0_DL0,48,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,False,True,HW1_OH0_DL1,48,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,False,HW1_OH1_DL0,48,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,48,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,ablation
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,1,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,2,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,4,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,8,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,12,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,24,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
6,CENT,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,48,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,horizon
1,CENT,1577836800,2020-01-01T00:00:00+00:00,,,,n/a,,64.0,2880,1.5,39158.5,39158.5,0.0,0,48,main
1,CENT,1578823200,2020-01-12T10:00:00+00:00,,,,n/a,,64.0,2880,1.5,49016.7,49016.7,0.0,0,48,main
1,CENT,1579809600,2020-01-23T20:00:00+00:00,,,,n/a,,64.0,2880,1.5,46092.1,46092.1,0.0,0,48,main
1,CENT,1580796000,2020-02-04T06:00:00+00:00,,,,n/a,,64.0,2880,1.5,43387.8,43387.8,0.0,0,48,main
1,CENT,1581782400,2020-02-15T16:00:00+00:00,,,,n/a,,64.0,2880,1.5,47493.3,47493.3,0.0,0,48,main
1,CENT,1582768800,2020-02-27T02:00:00+00:00,,,,n/a,,64.0,2880,1.5,45801.3,45801.3,0.0,0,48,main
1,CENT,1583755200,2020-03-09T12:00:00+00:00,,,,n/a,,64.0,2880,1.5,41453.4,41453.4,0.0,0,48,main
1,CENT,1584741600,2020-03-20T22:00:00+00:00,,,,n/a,,64.0,2880,1.5,36099.5,36099.5,0.0,0,48,main
1,CENT,1585728000,2020-04-01T08:00:00+00:00,,,,n/a,,64.0,2880,1.5,18361.9,18361.9,0.0,0,48,main
1,CENT,1586714400,2020-04-12T18:00:00+00:00,,,,n/a,,64.0,2880,1.5,31633.6,31633.6,0.0,0,48,main
1,CENT,1587700800,2020-04-24T04:00:00+00:00,,,,n/a,,64.0,2880,1.5,35779.2,35779.2,0.0,0,48,main
1,CENT,1588687200,2020-05-05T14:00:00+00:00,,,,n/a,,64.0,2880,1.5,43403.8,43403.8,0.0,0,48,main
1,CENT,1589673600,2020-05-17T00:00:00+00:00,,,,n/a,,64.0,2880,1.5,47660.4,47660.4,0.0,0,48,main
1,CENT,1590660000,2020-05-28T10:00:00+00:00,,,,n/a,,64.0,2880,1.5,46236.2,46236.2,0.0,0,48,main
1,CENT,1591646400,2020-06-08T20:00:00+00:00,,,,n/a,,64.0,2880,1.5,38739.0,38739.0,0.0,0,48,main
1,CENT,1592632800,2020-06-20T06:00:00+00:00,,,,n/a,,64.0,2880,1.5,51014.8,51014.8,0.0,0,48,main
1,CENT,1593619200,2020-07-01T16:00:00+00:00,,,,n/a,,64.0,2880,1.5,56118.4,56118.4,0.0,0,48,main
1,CENT,1594605600,2020-07-13T02:00:00+00:00,,,,n/a,,64.0,2880,1.5,47290.3,47290.3,0.0,0,48,main
1,CENT,1595592000,2020-07-24T12:00:00+00:00,,,,n/a,,64.0,2880,1.5,55091.1,55091.1,0.0,0,48,main
1,CENT,1596578400,2020-08-04T22:00:00+00:00,,,,n/a,,64.0,2880,1.5,53331.9,53331.9,0.0,0,48,main
1,CENT,1597564800,2020-08-16T08:00:00+00:00,,,,n/a,,64.0,2880,1.5,64320.5,64320.5,0.0,0,48,main
1,CENT,1598551200,2020-08-27T18:00:00+00:00,,,,n/a,,64.0,2880,1.5,65818.6,65818.6,0.0,0,48,main
1,CENT,1599537600,2020-09-08T04:00:00+00:00,,,,n/a,,64.0,2880,1.5,48286.3,48286.3,0.0,0,48,main
1,CENT,1600524000,2020-09-19T14:00:00+00:00,,,,n/a,,64.0,2880,1.5,39998.9,39998.9,0.0,0,48,main
1,CENT,1601510400,2020-10-01T00:00:00+00:00,,,,n/a,,64.0,2880,1.5,54129.0,54129.0,0.0,0,48,main
1,CENT,1602496800,2020-10-12T10:00:00+00:00,,,,n/a,,64.0,2880,1.5,52227.4,52227.4,0.0,0,48,main
1,CENT,1603483200,2020-10-23T20:00:00+00:00,,,,n/a,,64.0,2880,1.5,68534.5,68534.5,0.0,0,48,main
1,CENT,1604469600,2020-11-04T06:00:00+00:00,,,,n/a,,64.0,2880,1.5,47638.4,47638.4,0.0,0,48,main
1,CENT,1605456000,2020-11-15T16:00:00+00:00,,,,n/a,,64.0,2880,1.5,56007.0,56007.0,0.0,0,48,main
1,CENT,1606442400,2020-11-27T02:00:00+00:00,,,,n/a,,64.0,2880,1.5,51250.1,51250.1,0.0,0,48,main
1,CENT,1607428800,2020-12-08T12:00:00+00:00,,,,n/a,,64.0,2880,1.5,59304.1,59304.1,0.0,0,48,main
1,CENT,1608415200,2020-12-19T22:00:00+00:00,,,,n/a,,64.0,2880,1.5,58919.2,58919.2,0.0,0,48,main
1,NE,1577836800,2020-01-01T00:00:00+00:00,,,,n/a,,64.0,2880,1.5,64156.6,64156.6,0.0,0,48,main
1,NE,1578823200,2020-01-12T10:00:00+00:00,,,,n/a,,64.0,2880,1.5,64756.4,64756.4,0.0,0,48,main
1,NE,1579809600,2020-01-23T20:00:00+00:00,,,,n/a,,64.0,2880,1.5,70875.5,70875.5,0.0,0,48,main
1,NE,1580796000,2020-02-04T06:00:00+00:00,,,,n/a,,64.0,2880,1.5,79065.6,79065.6,0.0,0,48,main
1,NE,1581782400,2020-02-15T16:00:00+00:00,,,,n/a,,64.0,2880,1.5,66593.1,66593.1,0.0,0,48,main
1,NE,1582768800,2020-02-27T02:00:00+00:00,,,,n/a,,64.0,2880,1.5,61178.8,61178.8,0.0,0,48,main
1,NE,1583755200,2020-03-09T12:00:00+00:00,,,,n/a,,64.0,2880,1.5,53057.0,53057.0,0.0,0,48,main
1,NE,1584741600,2020-03-20T22:00:00+00:00,,,,n/a,,64.0,2880,1.5,43184.3,43184.3,0.0,0,48,main
1,NE,1585728000,2020-04-01T08:00:00+00:00,,,,n/a,,64.0,2880,1.5,70914.8,70914.8,0.0,0,48,main
1,NE,1586714400,2020-04-12T18:00:00+00:00,,,,n/a,,64.0,2880,1.5,62894.0,62894.0,0.0,0,48,main
1,NE,1587700800,2020-04-24T04:00:00+00:00,,,,n/a,,64.0,2880,1.5,74028.0,74028.0,0.0,0,48,main
1,NE,1588687200,2020-05-05T14:00:00+00:00,,,,n/a,,64.0,2880,1.5,57264.6,57264.6,0.0,0,48,main
1,NE,1589673600,2020-05-17T00:00:00+00:00,,,,n/a,,64.0,2880,1.5,50199.8,50199.8,0.0,0,48,main
1,NE,1590660000,2020-05-28T10:00:00+00:00,,,,n/a,,64.0,2880,1.5,87314.0,87314.0,0.0,0,48,main
1,NE,1591646400,2020-06-08T20:00:00+00:00,,,,n/a,,64.0,2880,1.5,82470.0,82470.0,0.0,0,48,main
1,NE,1592632800,2020-06-20T06:00:00+00:00,,,,n/a,,64.0,2880,1.5,83691.5,83691.5,0.0,0,48,main
1,NE,1593619200,2020-07-01T16:00:00+00:00,,,,n/a,,64.0,2880,1.5,80580.0,80580.0,0.0,0,48,main
1,NE,1594605600,2020-07-13T02:00:00+00:00,,,,n/a,,64.0,2880,1.5,86251.0,86251.0,0.0,0,48,main
1,NE,1595592000,2020-07-24T12:00:00+00:00,,,,n/a,,64.0,2880,1.5,86414.0,86414.0,0.0,0,48,main
1,NE,1596578400,2020-08-04T22:00:00+00:00,,,,n/a,,64.0,2880,1.5,82766.5,82766.5,0.0,0,48,main
1,NE,1597564800,2020-08-16T08:00:00+00:00,,,,n/a,,64.0,2880,1.5,77568.1,77568.1,0.0,0,48,main
1,NE,1598551200,2020-08-27T18:00:00+00:00,,,,n/a,,64.0,2880,1.5,74744.1,74744.1,0.0,0,48,main
