policy,source_grid,start_ts,start_datetime,hw_weighting,overhead_cost,deadline_gate,ablation_id,lookahead_hours,app_size_mb,expected_completion_min,deadline_multiplier,total_carbon_gco2,baseline_carbon_gco2,savings_pct,migration_count,completed_hours,sweep_kind
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,False,False,False,HW0_OH0_DL0,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,False,False,True,HW0_OH0_DL1,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,False,True,False,HW0_OH1_DL0,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,False,True,True,HW0_OH1_DL1,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,False,False,HW1_OH0_DL0,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,False,True,HW1_OH0_DL1,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,False,HW1_OH1_DL0,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,48,64.0,120,1.5,1164.8,2275.3,48.809,1,2,ablation
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,1,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,2,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,4,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,8,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,12,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,24,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
6,ISNE,1577836800,2020-01-01T00:00:00+00:00,True,True,True,HW1_OH1_DL1,48,64.0,60000,1.5,1164.8,1115562.4,99.896,1,1000,horizon
1,ISNE,1577836800,2020-01-01T00:00:00+00:00,,,,n/a,,64.0,120,1.5,2275.3,2275.3,0.0,0,2,main
1,ISNE,1578888000,2020-01-13T04:00:00+00:00,,,,n/a,,64.0,120,1.5,1757.8,1757.8,0.0,0,2,main
1,ISNE,1579939200,2020-01-25T08:00:00+00:00,,,,n/a,,64.0,120,1.5,1832.3,1832.3,0.0,0,2,main
1,ISNE,1580990400,2020-02-06T12:00:00+00:00,,,,n/a,,64.0,120,1.5,2738.7,2738.7,0.0,0,2,main
1,ISNE,1582041600,2020-02-18T16:00:00+00:00,,,,n/a,,64.0,120,1.5,2529.4,2529.4,0.0,0,2,main
1,ISNE,1583092800,2020-03-01T20:00:00+00:00,,,,n/a,,64.0,120,1.5,1976.5,1976.5,0.0,0,2,main
1,ISNE,1584144000,2020-03-14T00:00:00+00:00,,,,n/a,,64.0,120,1.5,1778.0,1778.0,0.0,0,2,main
1,ISNE,1585195200,2020-03-26T04:00:00+00:00,,,,n/a,,64.0,120,1.5,1518.3,1518.3,0.0,0,2,main
1,ISNE,1586246400,2020-04-07T08:00:00+00:00,,,,n/a,,64.0,120,1.5,2218.5,2218.5,0.0,0,2,main
1,ISNE,1587297600,2020-04-19T12:00:00+00:00,,,,n/a,,64.0,120,1.5,1680.6,1680.6,0.0,0,2,main
1,ISNE,1588348800,2020-05-01T16:00:00+00:00,,,,n/a,,64.0,120,1.5,2125.5,2125.5,0.0,0,2,main
1,ISNE,1589400000,2020-05-13T20:00:00+00:00,,,,n/a,,64.0,120,1.5,1338.2,1338.2,0.0,0,2,main
1,ISNE,1590451200,2020-05-26T00:00:00+00:00,,,,n/a,,64.0,120,1.5,1876.6,1876.6,0.0,0,2,main
1,ISNE,1591502400,2020-06-07T04:00:00+00:00,,,,n/a,,64.0,120,1.5,2368.6,2368.6,0.0,0,2,main
1,ISNE,1592553600,2020-06-19T08:00:00+00:00,,,,n/a,,64.0,120,1.5,2179.3,2179.3,0.0,0,2,main
1,ISNE,1593604800,2020-07-01T12:00:00+00:00,,,,n/a,,64.0,120,1.5,2541.5,2541.5,0.0,0,2,main
1,ISNE,1594656000,2020-07-13T16:00:00+00:00,,,,n/a,,64.0,120,1.5,3044.1,3044.1,0.0,0,2,main
1,ISNE,1595707200,2020-07-25T20:00:00+00:00,,,,n/a,,64.0,120,1.5,2919.7,2919.7,0.0,0,2,main
1,ISNE,1596758400,2020-08-07T00:00:00+00:00,,,,n/a,,64.0,120,1.5,2647.4,2647.4,0.0,0,2,main
1,ISNE,1597809600,2020-08-19T04:00:00+00:00,,,,n/a,,64.0,120,1.5,2107.5,2107.5,0.0,0,2,main
1,ISNE,1598860800,2020-08-31T08:00:00+00:00,,,,n/a,,64.0,120,1.5,2303.7,2303.7,0.0,0,2,main
1,ISNE,1599912000,2020-09-12T12:00:00+00:00,,,,n/a,,64.0,120,1.5,2076.1,2076.1,0.0,0,2,main
1,ISNE,1600963200,2020-09-24T16:00:00+00:00,,,,n/a,,64.0,120,1.5,2890.6,2890.6,0.0,0,2,main
1,ISNE,1602014400,2020-10-06T20:00:00+00:00,,,,n/a,,64.0,120,1.5,2516.4,2516.4,0.0,0,2,main
1,ISNE,1603065600,2020-10-19T00:00:00+00:00,,,,n/a,,64.0,120,1.5,2299.2,2299.2,0.0,0,2,main
1,ISNE,1604116800,2020-10-31T04:00:00+00:00,,,,n/a,,64.0,120,1.5,2390.7,2390.7,0.0,0,2,main
1,ISNE,1605168000,2020-11-12T08:00:00+00:00,,,,n/a,,64.0,120,1.5,2004.9,2004.9,0.0,0,2,main
1,ISNE,1606219200,2020-11-24T12:00:00+00:00,,,,n/a,,64.0,120,1.5,2085.5,2085.5,0.0,0,2,main
1,ISNE,1607270400,2020-12-06T16:00:00+00:00,,,,n/a,,64.0,120,1.5,1574.5,1574.5,0.0,0,2,main
1,ISNE,1608321600,2020-12-18T20:00:00+00:00,,,,n/a,,64.0,120,1.5,3191.6,3191.6,0.0,0,2,main
2,ISNE,1577836800,2020-01-01T00:00:00+00:00,,,,n/a,,64.0,120,1.5,1164.8,2275.3,48.809,1,2,main
2,ISNE,1578888000,2020-01-13T04:00:00+00:00,,,,n/a,,64.0,120,1.5,899.6,1757.8,48.822,1,2,main
2,ISNE,1579939200,2020-01-25T08:00:00+00:00,,,,n/a,,64.0,120,1.5,921.6,1832.3,49.704,1,2,main
2,ISNE,1580990400,2020-02-06T12:00:00+00:00,,,,n/a,,64.0,120,1.5,1351.0,2738.7,50.669,1,2,main
2,ISNE,1582041600,2020-02-18T16:00:00+00:00,,,,n/a,,64.0,120,1.5,1255.2,2529.4,50.375,1,2,main
2,ISNE,1583092800,2020-03-01T20:00:00+00:00,,,,n/a,,64.0,120,1.5,944.3,1976.5,52.226,1,2,main
2,ISNE,1584144000,2020-03-14T00:00:00+00:00,,,,n/a,,64.0,120,1.5,904.9,1778.0,49.109,1,2,main
