overhead_min,start_ts,source_grid_chosen,policy,total_carbon_kgco2eq,migration_count,dest_grids_visited
0,1588377600,PGE,5,12.141,6,BANC|ISNE|PGE|IPCO|ISNE|PGE
0,1589695200,PGE,5,7.918,0,
0,1591012800,PGE,5,3.769,0,
0,1592330400,PGE,5,3.061,2,IPCO|PGE
0,1593648000,PGE,5,4.802,0,
0,1594965600,PGE,5,33.873,12,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|CISO|PGE|BANC|PGE
0,1596283200,PGE,5,43.088,7,CISO|PGE|CISO|BANC|PGE|IPCO|PGE
0,1597600800,PGE,5,56.563,2,ISNE|PGE
0,1598918400,PGE,5,55.866,8,CISO|PGE|BANC|PGE|BANC|ISNE|PGE|BANC
0,1600236000,ISNE,5,64.603,15,DUK|PGE|DUK|CISO|BANC|PGE|BANC|PGE|ISNE|DUK|PGE|BANC|PGE|BANC|DUK
0,1601553600,ISNE,5,65.419,12,PGE|TVA|BANC|PGE|BANC|PGE|DUK|PGE|BANC|ISNE|PGE|ISNE
0,1602871200,PGE,5,44.205,8,NYIS|PGE|IPCO|PGE|NYIS|PGE|NYIS|PGE
0,1604188800,PGE,5,35.461,4,NWMT|PGE|NWMT|PGE
0,1605506400,ISNE,5,39.497,3,PGE|ISNE|PGE
0,1606824000,ISNE,5,42.375,4,PGE|ISNE|PGE|ISNE
0,1608141600,PGE,5,39.69,0,
0,1577836800,ISNE,6,54.475,1,PGE
0,1579154400,ISNE,6,50.007,1,PGE
0,1580472000,ISNE,6,44.191,1,PGE
0,1581789600,PGE,6,36.054,0,
0,1583107200,PGE,6,42.213,0,
0,1584424800,ISNE,6,51.371,1,NYIS
0,1585742400,BANC,6,44.33,0,
0,1587060000,IPCO,6,32.693,1,BANC
0,1588377600,PGE,6,15.283,0,
0,1589695200,PGE,6,7.918,0,
0,1591012800,PGE,6,3.769,0,
0,1592330400,PGE,6,3.207,0,
0,1593648000,PGE,6,4.802,0,
0,1594965600,PGE,6,33.633,0,
0,1596283200,PGE,6,44.201,0,
0,1597600800,PGE,6,57.441,0,
0,1598918400,PGE,6,56.229,0,
0,1600236000,ISNE,6,66.545,1,PGE
0,1601553600,ISNE,6,61.841,1,PGE
0,1602871200,PGE,6,44.825,0,
0,1604188800,PGE,6,38.972,0,
0,1605506400,ISNE,6,39.688,1,PGE
0,1606824000,ISNE,6,45.377,2,PGE|ISNE
0,1608141600,PGE,6,39.69,0,
5,1577836800,ISNE,1,48.2,0,
5,1579154400,ISNE,1,53.59,0,
5,1580472000,ISNE,1,56.508,0,
5,1581789600,PGE,1,36.054,0,
5,1583107200,PGE,1,42.213,0,
5,1584424800,ISNE,1,42.377,0,
5,1585742400,BANC,1,44.33,0,
5,1587060000,IPCO,1,64.871,0,
5,1588377600,PGE,1,15.283,0,
5,1589695200,PGE,1,7.918,0,
5,1591012800,PGE,1,3.769,0,
5,1592330400,PGE,1,3.207,0,
5,1593648000,PGE,1,4.802,0,
5,1594965600,PGE,1,33.633,0,
5,1596283200,PGE,1,44.201,0,
5,1597600800,PGE,1,57.441,0,
5,1598918400,PGE,1,56.229,0,
5,1600236000,ISNE,1,62.614,0,
5,1601553600,ISNE,1,58.707,0,
5,1602871200,PGE,1,44.825,0,
5,1604188800,PGE,1,38.972,0,
5,1605506400,ISNE,1,48.474,0,
5,1606824000,ISNE,1,42.761,0,
5,1608141600,PGE,1,39.69,0,
5,1577836800,ISNE,2,52.677,10,PGE|BANC|ISNE|TVA|PGE|IPCO|PGE|ISNE|NYIS|PGE
5,1579154400,ISNE,2,50.952,8,PGE|NYIS|PGE|NYIS|ISNE|PGE|ISNE|PGE
5,1580472000,ISNE,2,46.863,11,PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|BANC|PGE|NYIS|PGE
5,1581789600,PGE,2,37.562,6,BANC|PGE|BANC|PGE|BANC|PGE
5,1583107200,PGE,2,43.959,9,BANC|PGE|NYIS|BANC|PGE|BANC|PGE|BANC|PGE
5,1584424800,ISNE,2,47.978,5,NYIS|ISNE|NYIS|ISNE|NYIS
5,1585742400,BANC,2,39.942,6,CISO|IPCO|BANC|CISO|IPCO|BANC
5,1587060000,IPCO,2,30.74,4,BANC|IPCO|BANC|CISO
5,1588377600,PGE,2,13.705,6,BANC|ISNE|PGE|IPCO|ISNE|PGE
5,1589695200,PGE,2,7.918,0,
5,1591012800,PGE,2,3.769,0,
5,1592330400,PGE,2,3.606,2,IPCO|PGE
5,1593648000,PGE,2,4.802,0,
5,1594965600,PGE,2,36.631,12,IPCO|PGE|IPCO|PGE|IPCO|PGE|IPCO|PGE|CISO|PGE|BANC|PGE
