policy,source_grid,start_ts,start_datetime,hw_weighting,overhead_cost,deadline_gate,ablation_id,lookahead_hours,app_size_mb,expected_completion_min,deadline_multiplier,total_carbon_gco2,baseline_carbon_gco2,savings_pct,migration_count,completed_hours,sweep_kind
1,ISNE,1577836800,2020-01-01T00:00:00+00:00,,,,n/a,,64.0,600,1.5,9669.8,9669.8,0.0,0,10,main
1,ISNE,1577840400,2020-01-01T01:00:00+00:00,,,,n/a,,64.0,600,1.5,9338.5,9338.5,0.0,0,10,main
1,ISNE,1577844000,2020-01-01T02:00:00+00:00,,,,n/a,,64.0,600,1.5,9090.8,9090.8,0.0,0,10,main
1,ISNE,1577847600,2020-01-01T03:00:00+00:00,,,,n/a,,64.0,600,1.5,8887.9,8887.9,0.0,0,10,main
1,ISNE,1577851200,2020-01-01T04:00:00+00:00,,,,n/a,,64.0,600,1.5,8716.7,8716.7,0.0,0,10,main
1,ISNE,1577854800,2020-01-01T05:00:00+00:00,,,,n/a,,64.0,600,1.5,8655.7,8655.7,0.0,0,10,main
1,ISNE,1577858400,2020-01-01T06:00:00+00:00,,,,n/a,,64.0,600,1.5,8637.9,8637.9,0.0,0,10,main
1,ISNE,1577862000,2020-01-01T07:00:00+00:00,,,,n/a,,64.0,600,1.5,8705.8,8705.8,0.0,0,10,main
1,ISNE,1577865600,2020-01-01T08:00:00+00:00,,,,n/a,,64.0,600,1.5,8821.3,8821.3,0.0,0,10,main
1,ISNE,1577869200,2020-01-01T09:00:00+00:00,,,,n/a,,64.0,600,1.5,8961.8,8961.8,0.0,0,10,main
1,ISNE,1577872800,2020-01-01T10:00:00+00:00,,,,n/a,,64.0,600,1.5,9117.3,9117.3,0.0,0,10,main
1,ISNE,1577876400,2020-01-01T11:00:00+00:00,,,,n/a,,64.0,600,1.5,9326.7,9326.7,0.0,0,10,main
1,ISNE,1577880000,2020-01-01T12:00:00+00:00,,,,n/a,,64.0,600,1.5,9501.9,9501.9,0.0,0,10,main
1,ISNE,1577883600,2020-01-01T13:00:00+00:00,,,,n/a,,64.0,600,1.5,9736.2,9736.2,0.0,0,10,main
1,ISNE,1577887200,2020-01-01T14:00:00+00:00,,,,n/a,,64.0,600,1.5,9956.7,9956.7,0.0,0,10,main
1,ISNE,1577890800,2020-01-01T15:00:00+00:00,,,,n/a,,64.0,600,1.5,10140.0,10140.0,0.0,0,10,main
1,ISNE,1577894400,2020-01-01T16:00:00+00:00,,,,n/a,,64.0,600,1.5,10301.9,10301.9,0.0,0,10,main
1,ISNE,1577898000,2020-01-01T17:00:00+00:00,,,,n/a,,64.0,600,1.5,10386.6,10386.6,0.0,0,10,main
1,ISNE,1577901600,2020-01-01T18:00:00+00:00,,,,n/a,,64.0,600,1.5,10408.2,10408.2,0.0,0,10,main
1,ISNE,1577905200,2020-01-01T19:00:00+00:00,,,,n/a,,64.0,600,1.5,10337.0,10337.0,0.0,0,10,main
1,ISNE,1577908800,2020-01-01T20:00:00+00:00,,,,n/a,,64.0,600,1.5,10145.0,10145.0,0.0,0,10,main
1,ISNE,1577912400,2020-01-01T21:00:00+00:00,,,,n/a,,64.0,600,1.5,9936.7,9936.7,0.0,0,10,main
1,ISNE,1577916000,2020-01-01T22:00:00+00:00,,,,n/a,,64.0,600,1.5,9699.4,9699.4,0.0,0,10,main
1,ISNE,1577919600,2020-01-01T23:00:00+00:00,,,,n/a,,64.0,600,1.5,9475.2,9475.2,0.0,0,10,main
1,ISNE,1577923200,2020-01-02T00:00:00+00:00,,,,n/a,,64.0,600,1.5,9264.1,9264.1,0.0,0,10,main
1,ISNE,1577926800,2020-01-02T01:00:00+00:00,,,,n/a,,64.0,600,1.5,9145.8,9145.8,0.0,0,10,main
1,ISNE,1577930400,2020-01-02T02:00:00+00:00,,,,n/a,,64.0,600,1.5,9093.2,9093.2,0.0,0,10,main
1,ISNE,1577934000,2020-01-02T03:00:00+00:00,,,,n/a,,64.0,600,1.5,9101.4,9101.4,0.0,0,10,main
1,ISNE,1577937600,2020-01-02T04:00:00+00:00,,,,n/a,,64.0,600,1.5,9222.2,9222.2,0.0,0,10,main
1,ISNE,1577941200,2020-01-02T05:00:00+00:00,,,,n/a,,64.0,600,1.5,9389.6,9389.6,0.0,0,10,main
1,ISNE,1577944800,2020-01-02T06:00:00+00:00,,,,n/a,,64.0,600,1.5,9647.8,9647.8,0.0,0,10,main
1,ISNE,1577948400,2020-01-02T07:00:00+00:00,,,,n/a,,64.0,600,1.5,9909.1,9909.1,0.0,0,10,main
1,ISNE,1577952000,2020-01-02T08:00:00+00:00,,,,n/a,,64.0,600,1.5,10155.3,10155.3,0.0,0,10,main
1,ISNE,1577955600,2020-01-02T09:00:00+00:00,,,,n/a,,64.0,600,1.5,10364.9,10364.9,0.0,0,10,main
1,ISNE,1577959200,2020-01-02T10:00:00+00:00,,,,n/a,,64.0,600,1.5,10623.8,10623.8,0.0,0,10,main
1,ISNE,1577962800,2020-01-02T11:00:00+00:00,,,,n/a,,64.0,600,1.5,10938.3,10938.3,0.0,0,10,main
1,ISNE,1577966400,2020-01-02T12:00:00+00:00,,,,n/a,,64.0,600,1.5,11269.5,11269.5,0.0,0,10,main
1,ISNE,1577970000,2020-01-02T13:00:00+00:00,,,,n/a,,64.0,600,1.5,11569.7,11569.7,0.0,0,10,main
1,ISNE,1577973600,2020-01-02T14:00:00+00:00,,,,n/a,,64.0,600,1.5,11804.5,11804.5,0.0,0,10,main
1,ISNE,1577977200,2020-01-02T15:00:00+00:00,,,,n/a,,64.0,600,1.5,12052.7,12052.7,0.0,0,10,main
1,ISNE,1577980800,2020-01-02T16:00:00+00:00,,,,n/a,,64.0,600,1.5,12318.2,12318.2,0.0,0,10,main
1,ISNE,1577984400,2020-01-02T17:00:00+00:00,,,,n/a,,64.0,600,1.5,12423.8,12423.8,0.0,0,10,main
1,ISNE,1577988000,2020-01-02T18:00:00+00:00,,,,n/a,,64.0,600,1.5,12424.3,12424.3,0.0,0,10,main
1,ISNE,1577991600,2020-01-02T19:00:00+00:00,,,,n/a,,64.0,600,1.5,12329.2,12329.2,0.0,0,10,main
1,ISNE,1577995200,2020-01-02T20:00:00+00:00,,,,n/a,,64.0,600,1.5,12115.2,12115.2,0.0,0,10,main
